[header]
width=15
height=25
tilewidth=64
tileheight=64
orientation=orthogonal

[tilesets]
tileset=tileset_64.png,64,64,0,0
tileset=unitset_64.png,64,96,0,0

[layer]
type=Tile Layer 1
data=
9,32,21,22,19,19,19,19,19,19,19,19,23,24,33,
25,26,31,32,21,22,19,19,19,19,23,24,33,34,27,
35,36,25,26,31,32,21,22,23,24,33,34,27,28,37,
45,46,35,36,25,26,31,32,33,34,27,28,37,38,47,
55,56,45,46,35,36,25,26,27,28,37,38,47,48,57,
9,10,55,56,45,46,35,36,37,38,47,48,57,58,9,
9,9,9,62,55,56,45,46,47,48,57,58,9,10,61,
9,9,9,9,9,10,55,56,57,58,9,10,9,9,9,
9,9,61,9,9,9,29,30,49,50,9,61,9,9,9,
9,9,9,9,29,30,17,17,17,17,49,50,9,62,9,
9,9,29,30,17,17,17,17,17,17,17,17,49,50,9,
29,30,17,17,17,17,17,17,17,17,17,17,17,18,49,
3,3,3,3,3,3,3,15,15,3,3,3,3,3,4,
13,13,13,13,13,13,13,15,15,13,13,13,13,13,14,
13,14,4,4,4,4,4,15,15,4,4,4,4,4,4,
13,14,14,14,14,14,14,15,15,14,14,14,14,14,14,
3,3,3,3,3,3,3,15,15,3,3,3,3,13,14,
13,13,13,13,13,13,13,15,15,13,13,13,13,13,14,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,61,1,1,1,1,1,1,1,1,62,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,61,1,
1,1,1,1,62,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,62,1,1,1,1,1,1,1,
1,1,61,1,1,1,1,1,1,1,1,61,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1

